id,name,purpose,mmname,position,party
4519,All-Party Parliamentary Group on Water and Sanitation in the Third World,To monitor issues regarding water and sanitation in the third world.,Sir William Cash,Chair & Registered Contact,Conservative
4520,All-Party Parliamentary Group on Deliberative Democracy,"To promote the understanding and spread of deliberative democracy, including the greater use of citizens assemblies, citizens conventions and citizens juries.",Stella Creasy,Vice Chair,Labour (Co-op)
4521,All-Party Parliamentary Group on Reserves and Cadets,To ensure MPs and Peers are kept informed of the activities of our Reserve and Cadet forces and to work alongside said forces as much as possible to aid in their long and short term goals where Parliament is concerned.,Stella Creasy,Officer,Labour (Co-op)
4522,All-Party Parliamentary Group on France,To foster good relations between both Houses of Parliament and the AssemblÌ©e National and SÌ©nat in Paris.,Stephen Crabb,Co-Chair,Conservative
4523,All-Party Parliamentary Group for Oil Refining Sector,"To provide a forum for discussion of issues relevant to the UK oil refining sector, discuss latest developments relevant to current policy priorities, UK and EU legislation and to raise matters with government and industry itself.",Stephen Crabb,Vice Chair,Conservative
4524,All-Party Parliamentary Commons and Lords Rugby Union Football Club Group,"To play and promote the sport of rugby union within Parliament, between national parliaments, within the community and for charitable purposes.",Stephen Crabb,Vice Chair,Conservative
4525,All-Party Parliamentary Group on Afghanistan,"To provide a forum to discuss all aspects of Afghanistan's development, security and humanitarian situation to improve HMG's policies toward the country.",Stephen Doughty,Secretary,Labour (Co-op)
4526,All-Party Parliamentary Group on Somaliland,"To promote understanding of and support for Somaliland's achievements in building peace, democratic governance and a sovereign state in the Horn of Africa, its important role in combatting terrorism and piracy in the region and beyond, and the need for continued UK assistance for Somaliland's development.",Stephen Doughty,Secretary,Labour (Co-op)
4527,All-Party Parliamentary Group for Sudan and South Sudan,"To influence the UK government's policy and practice by promoting the cause of peace, human rights, justice and development for all the people of Sudan and South Sudan across the political spectrum in Westminster and Whitehall.",Stephen Doughty,Vice-Chair,Labour (Co-op)
4528,All-Party Parliamentary Group for the Armed Forces,To promote better understanding of Her Majesty's Armed Forces in Parliament.,Stephen Doughty,Vice-Chairman (Army),Labour (Co-op)
4529,All-Party Parliamentary Climate Change Group,"To inform the climate change discussion between parliamentarians, business leaders, NGOs and academics, and to accelerate action to address it.",Stephen Doughty,Vice-Chair,Labour (Co-op)
4530,All-Party Parliamentary Group for Fairtrade,To promote Fairtrade within Parliament; to deepen the relationship between local Fairtrade organisations and parliamentarians and to further raise awareness of the importance of Fairtrade.,Stephen Doughty,Vice-Chair,Labour (Co-op)
4531,All-Party Parliamentary Group on HIV and AIDS,"To facilitate good policy-making, respectful of human rights, that will limit the spread of HIV, mitigate its impact and support those already living with the virus, in the UK and internationally, and to hold the government to account for its relevant commitments.",Stephen Doughty,Chair & Registered Contact,Labour (Co-op)
4532,All-Party Parliamentary Group on Taxis,To support and promote the interests of the taxi trade in parliament.,Stephen Doughty,Vice Chair,Labour (Co-op)
4533,British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Stephen Gethins,Vice Chair,Scottish National Party
4534,All-Party Parliamentary Climate Change Group,"To inform the climate change discussion between parliamentarians, business leaders, NGOs and academics, and to accelerate action to address it.",Stephen Gethins,Vice-Chair,Scottish National Party
4535,All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Stephen Gethins,Vice Chair,Scottish National Party
4536,All-Party Parliamentary Group for Golf,To support the sport of golf.,Stephen Gethins,Co-Chair,Scottish National Party
4537,All-Party Parliamentary China Group,"To ensure parliamentarians are kept well informed on China, and to act as a platform for discussions on all issues of importance to the UK-China relationship.",Stephen Hammond,Vice Chair for Financial Services: Trade & Investment,Conservative
4538,All-Party Britain-Republic of Korea Parliamentary Group,"To increase the understanding of British parliamentarians of Korea, its politics, policies and people.",Stephen Hammond,Vice-Chair,Conservative
4539,All-Party Parliamentary Group on Portugal,To increase awareness amongst MP's and Peers of the political situation in Portugal; to host meetings to enable MP's and Peers to meet Portuguese parliamentarians; and generally to improve the relations between the UK and Portugal.,Stephen Hammond,Chair & Registered Contact,Conservative
4540,All-Party Parliamentary Group on Building Communities,"To promote the social value of placemaking and good design for communities.  The group focuses on how to improve community involvement in infrastructure, housing and other developments, and seeks to highlight the benefits of an upfront and informed approach to growth in local areas.",Stephen Hammond,Vice Chair,Conservative
4541,All-Party Parliamentary Group on Wholesale Financial Markets and Services,"The APPG is an informal cross-party interest and educational group. It was established to provide parliamentarians with a unique forum for briefings and constructive debate on issues relating to the wholesale financial sector with senior city practitioners, advisors, economists and academics.",Stephen Hammond,Chair & Registered Contact,Conservative
4542,All-Party Parliamentary Greyhound Group,To raise parliamentary awareness of issues relating to the greyhound industry.  To promote the sport and related welfare issues.,Stephen Hammond,Vice Chair,Conservative
4543,All-Party Parliamentary Maritime and Ports Group,"To provide a forum for the exchange of views between parliamentarians and leading figures in the shipping, ports and maritime business industries.",Stephen Hammond,Deputy Joint Chair,Conservative
4544,All-Party Parliamentary Group on Retail Crime,"To highlight the cost of retail crime to the high street (å£600 million a year), improve understanding of how this type of crime affects small businesses and what impact incidents of retail crime will have on our high streets if left unchecked.",Stephen Hammond,Chair & Registered Contact,Conservative
4545,All-Party Parliamentary Group on Town Centres,"To promote parliamentary and public understanding of the important role of town and city centres and their management as a key mechanism for co-ordinated action, fostering public and private sector dialogue and co-operation in order to build environments that are healthy, sustainable and socially inclusive.",Stephen Hammond,Officer,Conservative
4546,All-Party Parliamentary Group for Transport Safety,To protect human life through the promotion of transport safety for the public benefit.,Stephen Hammond,Vice Chair,Conservative
4547,All-Party Parliamentary Group on Belgium,"To consolidate and strengthen cultural, economic, political and social ties between the United Kingdom and Belgium and foster positive relations post Brexit.",Stephen Kerr,Treasurer,Conservative
4548,All-Party Parliamentary Group on Luxembourg,"To consolidate and strengthen cultural, economic, political and social ties between the United Kingdom and Luxembourg and foster positive relations post-Brexit.",Stephen Kerr,Treasurer,Conservative
4549,All-Party Parliamentary Group on Fair Business Banking and Finance,To put forward policy recommendations to government that encourage a finance system that allows enterprise to flourish and business to thrive.,Stephen Kerr,Vice Chair,Conservative
4550,All-Party Parliamentary Group on Nuclear Fusion,To inform and advise parliamentarians on the present status of research; how to maximise UK industry income and export potential; how fusion can benefit from government investment; how fusion fits into the new research landscape under UKRI; and how to fully exploit the synergies between fusion research and advanced nuclear fission technologies.,Stephen Kerr,Vice Chair,Conservative
4551,All-Party Parliamentary Group for Professional Sales,"To improve recognition by Parliament and industry of the importance of sales and its impact on the UK economy; to promote and advance sales as a profession; to boost the success of British industry, especially in international trade.",Stephen Kerr,Chair & Registered Contact,Conservative
4552,All-Party Parliamentary Group for Scottish Sport,To discuss and advance issues of importance to Scottish sport by complementing the work of the Scottish government and all Scottish governing bodies.,Stephen Kerr,Vice-Chair,Conservative
4553,All-Party Parliamentary Group on the Prevention of Sexual Violence in Conflict Initiative,To continue the work carried out by the ad hoc Select Committee on the Prevention of Sexual Violence in Conflict and to promote the objectives recommended.,Stephen Kerr,Chair & Registered Contact,Conservative
4554,All-Party Parliamentary Group on Whistleblowing,Whistleblowers are the vital element of a transparent society.  In 1998 the Public Interest Disclosure Act was introduced to protect employees who speak out.  In the face of many recent scandals the APPG is looking at the effectiveness of this legislation and how it might be improved.,Stephen Kerr,Chair & Registered Contact,Conservative
4555,All-Party Parliamentary Group for the Wood Panel Industry,To raise within Parliament issues of concern to the wood panel industry and provide parliamentarians with accurate information about matters relating to the wood panel industry.,Stephen Kerr,Chair & Registered Contact,Conservative
4556,British-Danish All-Party Parliamentary Group,"To promote relations between Britain and Denmark, their parliaments and people.",Stephen Kinnock,Chair & Registered Contact,Labour
4557,All-Party Parliamentary Group on Russia,To promote good relations between the parliaments and peoples of the UK and the Russia.,Stephen Kinnock,Vice Chair,Labour
4558,All-Party Parliamentary Group on a Better Brexit for Young People,"To develop relationships between young people and parliamentarians, in order to secure a better Brexit for young people.  Young people will live with the outcome of Brexit the longest and therefore the group aims to ensure that young citizens have a voice in how the negotiations are shaped.",Stephen Kinnock,Chair & Registered Contact,Labour
4559,British Council All-Party Parliamentary Group,"For parliamentarians to learn more about and better understand the British Council, and to support the British Council, offering advice and encouragement in both its everyday and long term work.",Stephen Kinnock,Treasurer,Labour
4560,All-Party Parliamentary Group on the Fourth Industrial Revolution,"To support and promote the Fourth Industrial Revolution (4IR) in Parliament and encourage Government, Parliamentarians, academia, the private sector, and other stakeholders, to engage with 4IR-related issues.",Stephen Kinnock,Officer,Labour
4561,All-Party Parliamentary Group on Management,To drive UK productivity and social well-being through promoting closer understanding between parliamentarians and UK managers and leaders from across all sectors.,Stephen Kinnock,Vice Chair,Labour
4562,All-Party Parliamentary Group on Marine Energy and Tidal Lagoons,"To promote the economic, supply chain and energy security benefits from the development of marine energy resources in and around the UK.",Stephen Kinnock,Vice Chair,Labour
4563,"All-Party Parliamentary Group for Post-Brexit Funding for Nations, Regions and Local Areas",The EU is the largest financial contributor to UK regional development. After Brexit the government will establish a UK Shared Prosperity Fund. The APPG intends to shape thinking and engage in the details of the fund and new system of regional funding and policies after Brexit.,Stephen Kinnock,Chair & Registered Contact,Labour
4564,All-Party Parliamentary Group on Steel and Metal Related Industries,"To ensure a fair deal for the UK steel and metal related industries by liaising with and lobbying the government, to raise the profile of cultural, environmental and social issues in the industry and its communities, and to research and develop policies which will promote thriving steel and cast metal industries in the UK.",Stephen Kinnock,Vice Chair,Labour
4565,All-Party Parliamentary Beer Group,"To promote the wholesomeness and enjoyment of beer and the unique role of the pub in UK society; to increase understanding of the social, cultural and historic role of brewing and pubs in the UK and their value to tourism; to broaden recognition of the contribution of brewing and pubs to employment and to the UK's economy; to promote understanding of the social responsibility exercised by the brewing and pub industries; to support the UK's brewing industry worldwide.",Stephen Lloyd,Vice Chair,Independent
4566,All-Party Parliamentary Group on Deafness,To promote the interests of people who are deaf or have a hearing loss.,Stephen Lloyd,Vice-Chair,Independent
4567,All-Party Parliamentary Group for Disability,"To work on all-party basis within Parliament for the interests of all disabled people, their families, friends and carers.",Stephen Lloyd,Vice Chair,Independent
4568,All-Party Parliamentary Group for Multiple Sclerosis,To promote the interests of people affected by MS (Multiple Sclerosis).,Stephen Lloyd,Officer,Independent
4569,All-Party Parliamentary Group for International Freedom of Religion or Belief,"To raise awareness and profile of international Freedom of Religion or Belief (Article 18, UDHR) as a human right among UK parliamentarians, the media, government and the general public. The group also seeks to increase the effectiveness of the UK's contribution to international institutions charged with enforcing this human right.",Stephen Lloyd,Secretary,Independent
4570,All-Party Parliamentary Group on Single Parent Families,To provide a forum for discussion of issues facing single parents and to promote consideration of single parents in the national legislative agenda.,Stephen Lloyd,Vice Chair,Independent
4571,All-Party Parliamentary Group on Southern Rail,"To scrutinise the operation and performance of the Southern Rail franchise with a view to ensuring service improvement by the franchise. The group will act for the best interests of passengers by providing challenge to all organisations, including the government, which have a bearing on operational performance.",Stephen Lloyd,Officer,Independent
4572,All-Party Parliamentary Group on State Pension Inequality for Women,To provide a cross-party forum in which to hold the government to account on the issue of transitional arrangements to compensate 1950s-born women who are affected by changes to the state pension age and to campaign on issues around the state pension age.,Stephen Lloyd,Vice-Chair,Independent
4573,All-Party Parliamentary Group on Town Centres,"To promote parliamentary and public understanding of the important role of town and city centres and their management as a key mechanism for co-ordinated action, fostering public and private sector dialogue and co-operation in order to build environments that are healthy, sustainable and socially inclusive.",Stephen Lloyd,Officer,Independent
4574,All-Party Parliamentary Group on Universal Credit,To monitor Universal Credit as it is rolled out; to share best practice in supporting constituents; and to make recommendations to government to improve policy.,Stephen Lloyd,Vice Chair,Independent
4575,Vascular and Venous Disease All-Party Parliamentary Group,"To raise awareness of vascular and venous disease and to encourage actions to promote a greater priority for its prevention and treatment; to encourage research into the causes of vascular and venous disease; to advance excellence and innovation in vascular and venous disease, and related cardiovascular conditions.",Stephen Lloyd,Vice-Chair,Independent
4576,All-Party Parliamentary Group on Bingo,To represent the interests of the bingo industry in Parliament.,Stephen McPartland,Joint-Secretary,Conservative
4577,All-Party Parliamentary Group on Child and Youth Crime,"To find (or identify or formulate) practical solutions and policies for those aged between 0-25, be they perpetrators or victims of crime, and to look at the cause and effect of gun and knife crime, persistent and prolific offending, gang crime, bullying, abuse, domestic violence, drug and alcohol addiction and homelessness.",Stephen McPartland,Secretary,Conservative
4578,All-Party Parliamentary Group on Child Health and Vaccine Preventable Diseases,To provide a platform to drive policy on preventable deaths in the developing world and highlight the role of vaccines in saving lives and improving health outcomes.,Stephen McPartland,Chair & Registered Contact,Conservative
4579,All-Party Parliamentary Group on the East Coast Main Line,"To campaign on securing investment for one of the UK's most strategic rail routes; on improving passenger experience, capacity and reliability; and on shorter journey times - as well as on the economic growth that could be unlocked in the areas the East Coast Main Line serves.",Stephen McPartland,Vice Chair,Conservative
4580,All-Party Parliamentary Group on Learning Disability,"To look at the issues facing people with a learning disability and their families. The group looks at the key issues of the day, across areas including health, social care, education, work and benefits.",Stephen McPartland,Officer,Conservative
4581,All-Party Parliamentary Group for the Kurdistan Region in Iraq,To promote friendship and understanding between the peoples and representatives of the Kurdistan Region in Iraq and the UK.,Stephen Metcalfe,Officer,Conservative
4582,All-Party Parliamentary Group on Artificial Intelligence,To explore the impact and implications of artificial intelligence including machine learning.,Stephen Metcalfe,Chair & Registered Contact,Conservative
4583,Chess All-Party Parliamentary Group,"To publicise, promote and seek support for chess.",Stephen Metcalfe,Co-Chair,Conservative
4584,"All-Party Parliamentary Group on Diversity and Inclusion in Science, Technology, Engineering and Maths","To increase diversity and promote the inclusion and progression of people from diverse backgrounds in Science, Technology, Engineering and Maths (STEM), and to encourage  government, parliamentarians, academics, businesses and others to work towards a STEM sector that is inclusive to all. To consider and influence changes in policy that will lead to this outcome.",Stephen Metcalfe,Officer,Conservative
4585,All-Party Parliamentary Group on General Aviation,"To promote the objective - as set out by the British Government - of making the UK the best country in the world for General Aviation through inspiring both current and future generations to take up science, technology, engineering and mathematics, thereby creating high-tech jobs and growth in our economy.",Stephen Metcalfe,Vice Chair,Conservative
4586,All-Party Parliamentary Maritime and Ports Group,"To provide a forum for the exchange of views between parliamentarians and leading figures in the shipping, ports and maritime business industries.",Stephen Metcalfe,Deputy Joint Chair,Conservative
4587,All-Party Parliamentary Group on Print,To provide a forum in which issues impacting on the printing industry may be debated; to promote understanding of those issues and of the industry; and to raise the profile of the printing industry among parliamentarians.,Stephen Metcalfe,Chair & Registered Contact,Conservative
4588,Parliamentary and Scientific Committee (an All-Party Parliamentary Group),"To be a primary focus for scientific and technological issues, providing a long-term liaison between parliamentarians and scientific bodies, science-based industry and the academic world.",Stephen Metcalfe,Chair & Registered Contact,Conservative
4589,Parliamentary Space Committee (an All-Party Parliamentary Group),"To raise awareness in Parliament of the importance and opportunities of space based capabilities to the UK economy, policy making, society and the space community; to highlight and promote the benefits from the UK's investment in space and its leading role within the global space economy.",Stephen Metcalfe,Vice Chair,Conservative
4590,All-Party Parliamentary Group on Key Cities,"To offer a forum for parliamentarians to discuss matters of mutual interest across the UK's key cities. The Key Cities organisation is a cross-party initiative whose members are committed to ensuring that all UK cities are placed on a sustainable footing to deliver continued, inclusive economic growth.",Stephen Morgan,Vice Chair,Labour
4591,All-Party Parliamentary Group for the Wessex Railway Route,To hold railway companies in the Wessex Railway region to account and to understand the investment priorities of this railway network for improving service to passengers.,Stephen Morgan,Vice Chair,Labour
4592,All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Stephen Pound,Chair & Registered Contact,Labour
4593,All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Stephen Pound,Officer,Labour
4594,Estonia All-Party Parliamentary Group,To promote good relations between Britain and Estonia and specifically to facilitate contact between parliamentarians and other representative bodies in both countries.,Stephen Pound,Vice-Chair,Labour
4595,Indo-British All-Party Parliamentary Group,To promote understanding and co-operation between Indian and British parliamentarians and peoples.,Stephen Pound,Secretary,Labour
4596,All-Party Parliamentary Group on Lithuania,To strengthen relations between the UK and Lithuania and to build parliamentary links.,Stephen Pound,Vice-Chairman,Labour
4597,All-Party Parliamentary Group on Moldova,To build relations between the UK and Moldova and to strengthen parliamentary links.,Stephen Pound,Secretary,Labour
4598,Nepal All-Party Parliamentary Group,To encourage good relations between Britain and Nepal.,Stephen Pound,Treasurer,Labour
4599,All-Party Parliamentary Group on Portugal,To increase awareness amongst MP's and Peers of the political situation in Portugal; to host meetings to enable MP's and Peers to meet Portuguese parliamentarians; and generally to improve the relations between the UK and Portugal.,Stephen Pound,Officer,Labour
4600,All-Party Parliamentary Group for Romania,To promote better relations between the UK and Romania and between their parliaments.,Stephen Pound,Vice Chair,Labour
4601,All-Party Parliamentary Group on Russia,To promote good relations between the parliaments and peoples of the UK and the Russia.,Stephen Pound,Vice Chair,Labour
4602,All-Party Parliamentary Group on Ukraine,To build relations between the UK and the Ukraine and to strengthen Parliamentary links.,Stephen Pound,Secretary,Labour
4603,All-Party Parliamentary Group on Bees,"To inform parliamentarians about bees, other pollinators and beekeeping and to campaign and raise awareness of impacted issues.",Stephen Pound,Vice Chair,Labour
4604,All-Party Parliamentary Group on Body Image,"To provide a cross-party forum for MPs to discuss and monitor on an ongoing basis the causes of body image anxiety. To explore what steps can be taken to promote body confidence, working with advertisers, the media, fashion industry and youth organisations.",Stephen Pound,Treasurer,Labour
4605,All-Party Parliamentary Group on Child Contact Centres and Services,To raise greater awareness in Parliament of the work of the National Association of Child Contact Centres in supporting children during separation; and of the important role of child contact centres and services in facilitating contact with non-residential parents.,Stephen Pound,Vice Chair,Labour
4606,All-Party Parliamentary Chinese in Britain Group,To promote the integration of the British Chinese into UK society and their representation and participation in the UK democratic process.,Stephen Pound,Officer,Labour
4607,All-Party Parliamentary Cricket Group,To foster and improve relations between Parliament and cricket at all levels.,Stephen Pound,Secretary,Labour
4608,All-Party Parliamentary Crossrail Group,"To promote the successful completion of Crossrail, and other related matters.",Stephen Pound,Treasurer,Labour
4609,All-Party Parliamentary Group on the Holy See,"To act as a conduit for closer relations and better understanding between the UK and the Holy See, and to keep Members and Peers fully briefed about the global activities of the Catholic Church.",Stephen Pound,Vice Chair,Labour
4610,All-Party Parliamentary Group on Infant Feeding and Inequalities,"To raise awareness of infant feeding and allow MPs, Peers and policy stakeholders an opportunity to meet regularly to ensure that this topic remains a priority for HM Government with a view to reducing inequalities and improving health.",Stephen Pound,Vice Chair,Labour
4611,All-Party Parliamentary Motorcycling Group,"To safeguard motorcycling interests by monitoring legislation for matters affecting motorcycling and taking remedial action where necessary; to represent motorcycling to fellow parliamentarians; to foster the good image of motorcycling, and, by example, encourage others to take up motorcycling.",Stephen Pound,Treasurer,Labour
4612,All-Party Parliamentary Group on Queen's University Belfast,To be the main avenue of communication between parliamentarians and Queen's University Belfast; to provide an opportunity to examine issues relevant to Queen's University Belfast; and to discuss the University's economic and social contribution to the United Kingdom.,Stephen Pound,Officer,Labour
4613,Zoroastrian All-Party Parliamentary Group,"To promote the interests of the British Zoroastrian community and interest in the Zoroastrian faith both inside and outside parliament, as well as improving links with fellow Zoroastrian parliamentarians from around the world.",Stephen Pound,Secretary,Labour
4614,All-Party Parliamentary Group on Egypt,To strengthen relations between British and Egyptian parliamentarians and promote British-Egyptian relations amongst both chambers of the UK Parliament.,Stephen Timms,Chair & Registered Contact,Labour
4615,All-Party Parliamentary Group on Haiti,To foster greater bilateral relations between the UK and Haiti; to facilitate a space for parliamentarians to exchange views and information about Haiti on different areas; and to contribute to further Haiti's long-term development.,Stephen Timms,Co-Secretary,Labour
4616,All-Party Parliamentary Group on Singapore,To promote and advance relations with Singapore.,Stephen Timms,Vice-Chair,Labour
4617,All-Party Parliamentary Crossrail Group,"To promote the successful completion of Crossrail, and other related matters.",Stephen Timms,Secretary,Labour
4618,All-Party Parliamentary Group on Data Analytics,"To disseminate knowledge, generate debate and facilitate engagement on data analytics amongst Members of both Houses of Parliament.",Stephen Timms,Vice-Chair,Labour
4619,All-Party Parliamentary Group on Faith and Society,"The APPG on Faith and Society aims to highlight the contribution to society by faith-based organisations, to identify best practice, and to promote understanding of the groups providing innovative solutions around the country.",Stephen Timms,Chair & Registered Contact,Labour
4620,All-Party Parliamentary Group on Fixed Odds Betting Terminals,To address the issues associated with Fixed Odds Betting Terminals.,Stephen Timms,Vice Chair,Labour
4621,All-Party Parliamentary Group on Foodbanks,To look at the rise of foodbank use in the UK and reasons behind the rise.,Stephen Timms,Officer,Labour
4622,All-Party Parliamentary Group on Ending Homelessness,To bring together parliamentarians of all parties with an interest in and commitment to ending homelessness; focus on all types of homelessness and differing solutions needed; make recommendations for the work of a wide range of departments who are key to ending homelessness.,Stephen Timms,Vice Chair,Labour
4623,All-Party Parliamentary Human Rights Group,To raise the profile of international human rights issues within Parliament and to investigate and publicise human rights abuses occurring.,Stephen Timms,Treasurer,Labour
4624,"Parliamentary Internet, Communications and Technology Forum (an All-Party Parliamentary Group)","To further understanding of policy issues affecting the internet, communications and technology sector between parliamentarians, the industry, consumer groups and academia.",Stephen Timms,Officer,Labour
4625,All-Party Parliamentary Group on Islamic Finance,"To give the Islamic finance industry a voice in Parliament; to address issues as they arise such as Sukuk issuances, inclusivity, regulation and taxation whilst positioning the UK as the European hub of Islamic financial services, and also to play a wider role in promoting ethical finance.",Stephen Timms,Vice Chair,Labour
4626,All-Party Parliamentary Group on Social Mobility,To discuss and evaluate key issues and indicators of social mobility and barriers to it. To hold seminars and meetings to present and highlight the latest research on social mobility.,Stephen Timms,Vice Chair,Labour
4627,All-Party Parliamentary Group on Textiles and Fashion,"To promote the significance of the UK textile and fashion industry across the world, supporting its development as an integral part of our economy.",Stephen Timms,Vice Chair,Labour
4628,All-Party Parliamentary Kenya Group,To bring together Members of both Houses of Parliament to discuss issues relating to Kenya.,Stephen Twigg,Secretary,Labour (Co-op)
4629,All-Party Parliamentary Group for the Prevention of Genocide and Crimes Against Humanity,To raise awareness and build coalitions to prevent conflicts and genocides around the world.,Stephen Twigg,Officer,Labour (Co-op)
4630,All-Party Parliamentary Group on Global Education,"To raise greater awareness of the factors affecting education in developing countries, and the government's obligations to help meet international goals for education for all. To work with all parties, international development organisations, education stakeholders (including unions) both nationally and internationally, to help secure a good quality education for all.",Stephen Twigg,Chair & Registered Contact,Labour (Co-op)
4631,All-Party Parliamentary Group on Jainism,To raise the profile of Jainism in the UK.,Stephen Twigg,Secretary,Labour (Co-op)
4632,All-Party Parliamentary Group on Literacy,"To champion the fight to improve public understanding of the vital importance and impact of literacy and to ensure parliamentary knowledge and support for the latest research, policy and best practice in the field of literacy.",Stephen Twigg,Vice Chair,Labour (Co-op)
4633,"All-Party Parliamentary Group on Rare, Genetic and Undiagnosed Conditions","To increase awareness in Parliament of rare, genetic and undiagnosed conditions and help to ensure that patients and families affected by those conditions have access to appropriate care and support.",Stephen Twigg,Chair & Registered Contact,Labour (Co-op)
4634,All-Party Parliamentary Group on Vaccinations for All,"To raise the political profile of the importance of routine vaccinations both around the world, and within the UK; and to encourage government to provide leadership and sustainable funding on confronting the challenges of ensuring equitable access to vaccines to everyone, no matter where they live.",Stephen Twigg,Officer,Labour (Co-op)
4635,All-Party Parliamentary Beer Group,"To promote the wholesomeness and enjoyment of beer and the unique role of the pub in UK society; to increase understanding of the social, cultural and historic role of brewing and pubs in the UK and their value to tourism; to broaden recognition of the contribution of brewing and pubs to employment and to the UK's economy; to promote understanding of the social responsibility exercised by the brewing and pub industries; to support the UK's brewing industry worldwide.",Steve Double,Vice Chair,Conservative
4636,All-Party Parliamentary Group on Dairy,To provide a forum for parliamentarians to discuss issues of interest on the dairy industry and ensure parliamentarians are fully briefed on developments or potential issues within the dairy supply chain.,Steve Double,Vice Chair,Conservative
4637,All-Party Parliamentary Group on Faith and Society,"The APPG on Faith and Society aims to highlight the contribution to society by faith-based organisations, to identify best practice, and to promote understanding of the groups providing innovative solutions around the country.",Steve Double,Treasurer,Conservative
4638,All-Party Parliamentary Group on Fatherhood,To promote the wellbeing of children by ensuring that legal and policy frameworks keep up with the changing nature of family life and that legislation encourages active and responsible fatherhood.,Steve Double,Co-Chair,Conservative
4639,All-Party Parliamentary Group for Hospitality,"Enhancing our local economy by promoting measures and incentives, including a reduction of VAT on tourism, which would increase visitor numbers and investment in all parts of Britain and Northern Ireland.",Steve Double,Chair & Registered Contact,Conservative
4640,All-Party Parliamentary Group on Migration,"To support the emergence of mainstream, progressive policy debate on migration in the UK parliament.",Steve Double,Vice Chair,Conservative
4641,All-Party Parliamentary Group for Mining and Quarrying,To keep Members of both Houses up to date on issues to do with the provision of essential minerals produced in the UK to underpin construction and other industries.,Steve Double,Vice-Chairman,Conservative
4642,Ocean Conservation All-Party Parliamentary Group,"To address the most urgent ocean conservation issues affecting our marine and coastal areas, including but not limited to: plastic pollution, water quality, marine protected areas, climate change and coastal developments.",Steve Double,Chair & Registered Contact,Conservative
4643,All-Party Parliamentary Group on Pharmacy,"To raise awareness of the profession of pharmacy, and to promote pharmacists' current and potential contribution to the health of the nation.",Steve Double,Vice Chair,Conservative
4644,All-Party Parliamentary Group on Radiotherapy,"To provide an effective voice for radiotherapy and improve access to radiotherapy for cancer patients, ensuring no-one had to travel more than 45 minutes to their nearest radiotherapy unit. To ensure radiotherapy receives increased funding so that patients are allowed to have the best radiotherapy for their individual cancer.",Steve Double,Vice Chair,Conservative
4645,All-Party Parliamentary Group on Japan,"To promote positive UK-Japan links at political, diplomatic and business levels.",Steve McCabe,Vice Chair,Labour
4646,All-Party Parliamentary Group for the UK Aluminium Industry,To work with the Aluminium Federation (The UK Aluminium Industry's Trade Association) to represent the UK aluminium industry.,Steve McCabe,Officer,Labour
4647,All-Party Parliamentary Group on Commercial Radio,To seek a better understanding between broadcasters and parliamentarians about the vital role that radio plays in our communities and our economy.,Steve McCabe,Co-Chair,Labour
4648,All-Party Parliamentary Group for Libraries,"To promote the role of libraries in society and the economy, and examine themes in the wider information and knowledge sector.",Steve McCabe,Vice Chair,Labour
4649,All-Party Parliamentary Group for Looked After Children and Care Leavers,"To promote the voice of children and young people in care, in order to promote first class government policy for children in care and care leavers.",Steve McCabe,Chair & Registered Contact,Labour
4650,All-Party Parliamentary Group on Access to Medicines and Medical Devices,"To examine pricing, funding and wider access issues relating to the availability of medicines and medical technologies on the NHS in England.",Steve McCabe,Officer,Labour
4651,All-Party Parliamentary Group on Retail Crime,"To highlight the cost of retail crime to the high street (å£600 million a year), improve understanding of how this type of crime affects small businesses and what impact incidents of retail crime will have on our high streets if left unchecked.",Steve McCabe,Vice Chair,Labour
4652,All-Party Parliamentary Group for the West Midlands,"To bring together MPs and Peers from across the West Midlands region and from all parties, together with key leaders ‰ÛÒ the mayor and those in local government, the private sector and social enterprise ‰ÛÒ to help maximise future investment in the region for the benefit of all its local communities.",Steve McCabe,Vice-Chair,Labour
4653,All-Party Parliamentary Group on Foster Care Work,"To bring together parliamentarians, foster care workers, and experts to discuss and promote measures to improve the state of fostering in the UK; and to work to raise the profile of both the problem and its solutions in Parliament.",Stewart Malcolm McDonald,Vice Chair,Scottish National Party
4654,All-Party Parliamentary Group on Green Deal Misselling,To gather evidence from constituents who have been missold home improvements such as solar panels or insulation from rogue traders operating under the Green Deal.  The group aims to find solutions for affected constituents and to prevent similar problems occurring under the new Green Deal.,Stewart Malcolm McDonald,Officer,Scottish National Party
4655,"All-Party Parliamentary Group on Global Lesbian, Gay, Bisexual, and Transgender Rights","To advance LGBT rights around the world. We provide a forum for parliamentarians and organisations across the public, private and third sectors to work together to champion LGBT rights and push back against abuse and discrimination. We principally focus on international LGBT rights but include domestic issues within our remit.",Stewart Malcolm McDonald,Vice-Chair,Scottish National Party
